x,y,Aurora
7,22,24
7,23,21
7,24,18
7,25,15
7,26,13
7,27,10
7,28,8
7,29,6
7,30,5
7,31,4
7,32,3
7,33,2
7,34,2
7,35,1
7,36,1
7,37,1
7,88,1
7,89,2
7,145,1
7,146,1
7,147,2
7,148,4
7,149,6
7,150,9
7,151,13
7,152,17
7,153,21
7,154,24
7,155,27
7,156,28
7,157,28
7,158,27
7,159,25
7,160,23
7,161,19
7,162,16
7,163,13
7,164,10
7,165,7
7,166,5
7,167,3
7,168,2
7,169,1
7,170,1
8,0,7
8,2,11
8,3,14
8,4,18
8,5,22
8,6,26
8,7,30
8,8,34
8,9,38
8,10,40
8,11,42
8,12,44
8,13,44
8,14,44
8,15,43
8,16,42
8,17,40
8,18,38
8,19,35
8,20,32
8,21,29
8,22,25
8,23,22
8,24,19
8,25,16
8,26,14
8,27,11
8,28,9
8,29,7
8,30,5
8,31,4
8,32,3
8,33,2
8,34,2
8,35,1
8,36,1
8,37,1
8,88,1
8,89,2
8,145,1
8,146,1
8,147,2
8,148,4
8,149,6
8,150,9
8,151,12
8,152,16
8,153,20
8,154,24
8,155,27
8,156,28
8,157,28
8,158,27
8,159,25
8,160,23
8,161,20
8,162,16
8,163,13
8,164,10
8,165,7
8,166,5
8,167,3
8,168,2
8,169,1
8,170,1
9,0,7
9,2,11
9,3,14
9,4,18
9,5,22
9,6,26
9,7,30
9,8,34
9,9,37
9,10,40
9,11,42
9,12,44
9,13,44
9,14,44
9,15,44
9,16,42
9,17,41
9,18,38
9,19,36
9,20,33
9,21,30
9,22,26
9,23,23
9,24,20
9,25,17
9,26,14
9,27,12
9,28,9
9,29,7
9,30,6
9,31,4
9,32,3
9,33,2
9,34,2
9,35,1
9,36,1
9,37,1
9,88,1
9,89,2
9,145,1
9,146,1
9,147,2
9,148,3
9,149,6
9,150,8
9,151,12
9,152,16
9,153,20
9,154,24
9,155,26
9,156,28
9,157,28
9,158,27
9,159,25
9,160,23
9,161,20
9,162,17
9,163,13
9,164,10
9,165,8
9,166,5
9,167,4
9,168,2
9,169,1
9,170,1
10,0,7
10,2,10
10,3,14
10,4,18
10,5,21
10,6,26
10,7,30
10,8,33
10,9,37
10,10,40
10,11,42
10,12,44
10,13,44
10,14,44
10,15,44
10,16,43
10,17,41
10,18,39
10,19,37
10,20,34
10,21,31
10,22,27
10,23,24
10,24,21
10,25,18
10,26,15
10,27,12
10,28,10
10,29,8
10,30,6
10,31,5
10,32,4
10,33,3
10,34,2
10,35,1
10,36,1
10,37,1
10,88,1
10,89,2
10,146,1
10,147,2
10,148,3
10,149,5
10,150,8
10,151,12
10,152,16
10,153,20
10,154,23
10,155,26
10,156,28
10,157,28
10,158,27
10,159,25
10,160,23
10,161,20
10,162,17
10,163,14
10,164,10
10,165,8
10,166,5
10,167,4
10,168,2
10,169,1
10,170,1
11,0,7
11,2,10
11,3,14
11,4,17
11,5,21
11,6,25
11,7,29
11,8,33
11,9,37
11,10,40
11,11,42
11,12,43
11,13,44
11,14,44
11,15,44
11,16,43
11,17,42
11,18,40
11,19,37
11,20,35
11,21,32
11,22,28
11,23,25
11,24,22
11,25,19
11,26,16
11,27,13
11,28,11
11,29,9
11,30,7
11,31,5
11,32,4
11,33,3
11,34,2
11,35,1
11,36,1
11,37,1
11,88,1
11,89,2
11,146,1
11,147,2
11,148,3
11,149,5
11,150,8
11,151,12
11,152,15
11,153,20
11,154,23
11,155,26
11,156,28
11,157,28
11,158,27
11,159,25
11,160,23
11,161,20
11,162,17
11,163,14
11,164,11
11,165,8
11,166,6
11,167,4
11,168,2
11,169,1
11,170,1
12,0,7
12,2,10
12,3,13
12,4,17
12,5,21
12,6,25
12,7,29
12,8,33
12,9,36
12,10,39
12,11,42
12,12,43
12,13,44
12,14,45
12,15,44
12,16,44
12,17,42
12,18,40
12,19,38
12,20,36
12,21,33
12,22,29
12,23,26
12,24,23
12,25,20
